,title,geo_accession,source_name,organism,taxid,tissue,animal_id,pitt_id,vax_group,vax_dose,dose_group,time_after_bcg,total_mtb_cfu,log_mtb_cfu,grans_nx,protect_outcome,description
110,HCA AE wk2,GSM6735680,Whole Blood,Macaca mulatta,9544,Whole Blood,HCA,14017,AE,3.70E+07,high,wk2,187339.0,5.273,43,not_protected,HCA_79
111,HCA AE wk12,GSM6735681,Whole Blood,Macaca mulatta,9544,Whole Blood,HCA,14017,AE,3.70E+07,high,wk12,187339.0,5.273,43,not_protected,HCA_80
112,HCE HD-ID pre,GSM6735682,Whole Blood,Macaca mulatta,9544,Whole Blood,HCE,14317,HD-ID,2.90E+07,high,pre,29595.0,4.471,11,not_protected,HCE_49
113,HCE HD-ID d2,GSM6735683,Whole Blood,Macaca mulatta,9544,Whole Blood,HCE,14317,HD-ID,2.90E+07,high,d2,29595.0,4.471,11,not_protected,HCE_50
114,HCE HD-ID wk2,GSM6735684,Whole Blood,Macaca mulatta,9544,Whole Blood,HCE,14317,HD-ID,2.90E+07,high,wk2,29595.0,4.471,11,not_protected,HCE_51
115,HCE HD-ID wk12,GSM6735685,Whole Blood,Macaca mulatta,9544,Whole Blood,HCE,14317,HD-ID,2.90E+07,high,wk12,29595.0,4.471,11,not_protected,HCE_52
116,HCL IV pre,GSM6735686,Whole Blood,Macaca mulatta,9544,Whole Blood,HCL,13517,IV,3.70E+07,high,pre,45.0,1.663,3,protected,HCL_45
117,HCL IV d2,GSM6735687,Whole Blood,Macaca mulatta,9544,Whole Blood,HCL,13517,IV,3.70E+07,high,d2,45.0,1.663,3,protected,HCL_46
118,HCL IV wk2,GSM6735688,Whole Blood,Macaca mulatta,9544,Whole Blood,HCL,13517,IV,3.70E+07,high,wk2,45.0,1.663,3,protected,HCL_47
119,HCL IV wk12,GSM6735689,Whole Blood,Macaca mulatta,9544,Whole Blood,HCL,13517,IV,3.70E+07,high,wk12,45.0,1.663,3,protected,HCL_48
120,O5G HD-ID pre,GSM6735690,Whole Blood,Macaca mulatta,9544,Whole Blood,O5G,14217,HD-ID,2.90E+07,high,pre,50.0,1.708,1,protected,O5G_89
121,O5G HD-ID d2,GSM6735691,Whole Blood,Macaca mulatta,9544,Whole Blood,O5G,14217,HD-ID,2.90E+07,high,d2,50.0,1.708,1,protected,O5G_90
122,O5G HD-ID wk2,GSM6735692,Whole Blood,Macaca mulatta,9544,Whole Blood,O5G,14217,HD-ID,2.90E+07,high,wk2,50.0,1.708,1,protected,O5G_91
123,O5G HD-ID wk12,GSM6735693,Whole Blood,Macaca mulatta,9544,Whole Blood,O5G,14217,HD-ID,2.90E+07,high,wk12,50.0,1.708,1,protected,O5G_92
124,O96 ID pre,GSM6735694,Whole Blood,Macaca mulatta,9544,Whole Blood,O96,13217,ID,3.10E+05,low,pre,58960.0,4.771,15,not_protected,O96_73
125,O96 ID d2,GSM6735695,Whole Blood,Macaca mulatta,9544,Whole Blood,O96,13217,ID,3.10E+05,low,d2,58960.0,4.771,15,not_protected,O96_74
126,O96 ID wk2,GSM6735696,Whole Blood,Macaca mulatta,9544,Whole Blood,O96,13217,ID,3.10E+05,low,wk2,58960.0,4.771,15,not_protected,O96_75
127,O96 ID wk12,GSM6735697,Whole Blood,Macaca mulatta,9544,Whole Blood,O96,13217,ID,3.10E+05,low,wk12,58960.0,4.771,15,not_protected,O96_76
128,OHJ AE pre,GSM6735698,Whole Blood,Macaca mulatta,9544,Whole Blood,OHJ,13017,AE,3.70E+07,high,pre,70928.0,4.851,21,not_protected,OHJ_37
129,OHJ AE d2,GSM6735699,Whole Blood,Macaca mulatta,9544,Whole Blood,OHJ,13017,AE,3.70E+07,high,d2,70928.0,4.851,21,not_protected,OHJ_38
130,OHJ AE wk2,GSM6735700,Whole Blood,Macaca mulatta,9544,Whole Blood,OHJ,13017,AE,3.70E+07,high,wk2,70928.0,4.851,21,not_protected,OHJ_39
131,OHJ AE wk12,GSM6735701,Whole Blood,Macaca mulatta,9544,Whole Blood,OHJ,13017,AE,3.70E+07,high,wk12,70928.0,4.851,21,not_protected,OHJ_40
132,OMI HD-ID pre,GSM6735702,Whole Blood,Macaca mulatta,9544,Whole Blood,OMI,14117,HD-ID,2.90E+07,high,pre,67930.0,4.832,22,not_protected,OMI_69
133,OMI HD-ID d2,GSM6735703,Whole Blood,Macaca mulatta,9544,Whole Blood,OMI,14117,HD-ID,2.90E+07,high,d2,67930.0,4.832,22,not_protected,OMI_70
134,OMI HD-ID wk2,GSM6735704,Whole Blood,Macaca mulatta,9544,Whole Blood,OMI,14117,HD-ID,2.90E+07,high,wk2,67930.0,4.832,22,not_protected,OMI_71
135,OMI HD-ID wk12,GSM6735705,Whole Blood,Macaca mulatta,9544,Whole Blood,OMI,14117,HD-ID,2.90E+07,high,wk12,67930.0,4.832,22,not_protected,OMI_72
136,ONF ID/AE pre,GSM6735706,Whole Blood,Macaca mulatta,9544,Whole Blood,ONF,13317,ID/AE,3.7E+07 / 3.1E+05,high,pre,397671.0,5.6,11,not_protected,ONF_61
137,ONF ID/AE d2,GSM6735707,Whole Blood,Macaca mulatta,9544,Whole Blood,ONF,13317,ID/AE,3.7E+07 / 3.1E+05,high,d2,397671.0,5.6,11,not_protected,ONF_62
138,ONF ID/AE wk2,GSM6735708,Whole Blood,Macaca mulatta,9544,Whole Blood,ONF,13317,ID/AE,3.7E+07 / 3.1E+05,high,wk2,397671.0,5.6,11,not_protected,ONF_63
139,ONF ID/AE wk12,GSM6735709,Whole Blood,Macaca mulatta,9544,Whole Blood,ONF,13317,ID/AE,3.7E+07 / 3.1E+05,high,wk12,397671.0,5.6,11,not_protected,ONF_64
140,OTM ID pre,GSM6735710,Whole Blood,Macaca mulatta,9544,Whole Blood,OTM,12917,ID,3.10E+05,low,pre,29030.0,4.463,27,not_protected,OTM_33
141,OTM ID d2,GSM6735711,Whole Blood,Macaca mulatta,9544,Whole Blood,OTM,12917,ID,3.10E+05,low,d2,29030.0,4.463,27,not_protected,OTM_34
142,OTM ID wk2,GSM6735712,Whole Blood,Macaca mulatta,9544,Whole Blood,OTM,12917,ID,3.10E+05,low,wk2,29030.0,4.463,27,not_protected,OTM_35
